,singer,song
1,블랙핑크, 'Shut Down'
2,블랙핑크, 'Pink Venom'
3,블랙핑크, 'Lovesick Girls'
4,블랙핑크, '마지막처럼'
5,블랙핑크, 'How You Like That'
6,블랙핑크, '불장난'
7,블랙핑크, '뚜두뚜두 '
8,블랙핑크, 'Forever Young'
9,블랙핑크, 'Kill This Love'
10,블랙핑크, '휘파람'
11,블랙핑크, '붐바야'
12,블랙핑크, 'Pretty Savage'
13,블랙핑크," ""Don't Know What To Do"""
14,블랙핑크, 'Typa Girl'
15,블랙핑크, 'STAY'
16,블랙핑크, 'Ready For Love'
17,블랙핑크, 'See U Later'
18,블랙핑크, 'SOLO'
19,블랙핑크, 'Ice Cream '
20,블랙핑크, 'Really'
21,블랙핑크, 'Crazy Over You'
22,블랙핑크, 'Yeah Yeah Yeah'
23,블랙핑크, 'Kick It'
24,블랙핑크, 'Hard to Love'
25,블랙핑크, 'Love To Hate Me'
26,블랙핑크, '아니길 '
27,블랙핑크, 'You Never Know'
28,블랙핑크, 'Tally'
29,블랙핑크, 'Bet You Wanna '
30,블랙핑크, 'The Happiest Girl'
31,블랙핑크, 'Kiss and Make Up'
32,블랙핑크, 'Gone'
33,블랙핑크, 'Black '
34,블랙핑크, '휘파람 '
35,블랙핑크, 'Sour Candy'
38,블랙핑크, '결국 '
41,블랙핑크, 'I wanna be BLACKPINK'
44,블랙핑크, 'Stay '
47,블랙핑크, 'GG Be '
48,블랙핑크, 'Special '
50,블랙핑크, 'Kiss and Make Up '
54,블랙핑크, 'Love To Hate Me + You Never Know'
56,블랙핑크," ""As If It's Your Last """
57,블랙핑크, 'Lovesick Girls '
58,블랙핑크, 'Whistle '
59,블랙핑크, 'Sour Candy '
60,블랙핑크, 'DDU-DU DDU-DU '
62,블랙핑크, 'See U Later '
63,블랙핑크, 'Playing With Fire '
64,블랙핑크, 'Forever Young '
65,블랙핑크, 'How You Like That '
66,블랙핑크, 'Really '
67,블랙핑크, 'BOOMBAYAH '
68,블랙핑크, 'Whirlwind'
69,블랙핑크, 'Kill This Love '
71,블랙핑크, 'Pretty Savage '
72,블랙핑크, 'When I Was A Child'
74,블랙핑크, 'Oh No Not you Again'
75,블랙핑크," ""Don't Know What To Do """
76,블랙핑크, 'Blackpink'
77,블랙핑크, 'You Never Know '
78,블랙핑크, 'Kick It '
79,블랙핑크, 'Make It Count'
82,블랙핑크, 'Don’t Know What To Do '
83,블랙핑크, 'Hope Not '
